STATE,PR_ALL,PR_YOUTH,MED_HH_INCOME,YEAR
Wyoming,10.7,13.1,62259.0,2018
Alabama,15.6,21.9,51771.0,2019
Alaska,10.2,13.2,77203.0,2019
Arizona,13.5,19.2,62027.0,2019
Arkansas,16.0,21.7,49020.0,2019
California,11.8,15.6,80423.0,2019
Colorado,9.4,11.2,77104.0,2019
Connecticut,9.9,13.5,78920.0,2019
Delaware,11.2,16.3,70348.0,2019
Florida,12.7,18.2,59198.0,2019
Georgia,13.5,19.5,61950.0,2019
Hawaii,9.0,11.2,83734.0,2019
Idaho,11.0,12.7,60830.0,2019
Illinois,11.4,15.6,69212.0,2019
Indiana,11.9,15.1,57617.0,2019
Iowa,11.0,12.8,61807.0,2019
Kansas,11.3,14.3,62028.0,2019
Kentucky,16.0,20.9,52256.0,2019
Louisiana,18.8,26.4,51108.0,2019
Maine,10.9,13.8,58824.0,2019
Maryland,9.1,12.3,86644.0,2019
Massachusetts,9.5,12.0,85700.0,2019
Michigan,12.9,17.5,59522.0,2019
Minnesota,8.9,11.0,74529.0,2019
Mississippi,19.5,27.6,45928.0,2019
Missouri,12.9,17.0,57375.0,2019
Montana,12.6,15.4,57248.0,2019
Nebraska,9.9,11.5,63290.0,2019
Nevada,12.7,17.6,63268.0,2019
New Hampshire,7.5,8.1,78571.0,2019
New Jersey,9.1,12.2,85786.0,2019
New Mexico,17.5,23.5,52021.0,2019
New York,13.1,18.2,72038.0,2019
North Carolina,13.6,19.3,57388.0,2019
North Dakota,10.5,10.9,67402.0,2019
Ohio,13.0,18.1,58704.0,2019
Oklahoma,15.1,19.7,54447.0,2019
Oregon,11.5,13.6,66955.0,2019
Pennsylvania,12.0,16.5,63455.0,2019
Rhode Island,11.6,16.5,70383.0,2019
South Carolina,13.9,19.9,56360.0,2019
South Dakota,11.9,14.9,60414.0,2019
Tennessee,13.8,19.4,56047.0,2019
Texas,13.6,19.2,64044.0,2019
Utah,8.8,9.6,75705.0,2019
Vermont,10.1,10.8,63293.0,2019
Virginia,9.9,13.3,76471.0,2019
Washington,9.8,12.0,78674.0,2019
West Virginia,16.2,20.8,48659.0,2019
Wisconsin,10.4,13.5,64177.0,2019
Wyoming,9.9,11.7,66152.0,2019
Alabama,14.9,20.9,53958.0,2020
Alaska,9.6,12.3,79961.0,2020
Arizona,12.8,17.6,64652.0,2020
Arkansas,15.2,20.8,51146.0,2020
California,11.5,14.6,83001.0,2020
Colorado,9.0,10.6,77688.0,2020
Connecticut,9.7,11.8,79723.0,2020
Delaware,10.9,15.1,71335.0,2020
Florida,12.4,17.2,61724.0,2020
Georgia,14.0,19.5,62800.0,2020
Hawaii,8.9,10.4,86878.0,2020
Idaho,10.1,11.6,62603.0,2020
Illinois,11.0,13.9,71243.0,2020
Indiana,11.6,14.9,60794.0,2020
Iowa,10.2,12.0,62362.0,2020
Kansas,10.6,13.0,63214.0,2020
Kentucky,14.9,19.4,54074.0,2020
Louisiana,17.8,24.3,51730.0,2020
Maine,10.6,12.8,59145.0,2020
Maryland,9.0,11.2,88589.0,2020
Massachusetts,9.4,10.9,87288.0,2020
Michigan,12.6,16.8,61352.0,2020
Minnesota,8.3,9.5,75489.0,2020
Mississippi,18.7,26.0,47368.0,2020
Missouri,12.1,15.5,58812.0,2020
Montana,12.4,14.6,57730.0,2020
Nebraska,9.2,10.1,64735.0,2020
Nevada,12.5,16.7,64608.0,2020
New Hampshire,7.0,8.4,81415.0,2020
New Jersey,9.4,12.6,87095.0,2020
New Mexico,16.8,21.6,52285.0,2020
New York,12.7,16.7,73354.0,2020
North Carolina,12.9,17.9,59616.0,2020
North Dakota,10.2,10.9,64289.0,2020
Ohio,12.6,16.6,60360.0,2020
Oklahoma,14.3,18.6,54512.0,2020
Oregon,11.0,12.2,67832.0,2020
Pennsylvania,10.9,14.3,64898.0,2020
Rhode Island,10.6,14.5,73919.0,2020
South Carolina,13.8,18.7,57216.0,2020
South Dakota,11.6,13.9,61149.0,2020
Tennessee,13.6,18.4,56962.0,2020
Texas,13.4,18.8,66048.0,2020
Utah,7.3,7.5,77785.0,2020
Vermont,9.4,10.0,67717.0,2020
Virginia,9.2,12.2,79154.0,2020
Washington,9.5,11.0,80319.0,2020
West Virginia,15.8,20.3,49202.0,2020
Wisconsin,10.0,12.4,64901.0,2020
Wyoming,9.2,10.3,67284.0,2020
Alabama,16.3,22.7,53990.0,2021
Alaska,10.8,13.5,78437.0,2021
Arizona,12.9,17.8,68967.0,2021
Arkansas,16.0,21.8,52577.0,2021
California,12.3,15.8,84831.0,2021
Colorado,9.7,11.8,82228.0,2021
Connecticut,10.1,12.9,83628.0,2021
Delaware,11.5,16.2,71636.0,2021
Florida,13.2,18.4,63054.0,2021
Georgia,14.2,20.5,66507.0,2021
Hawaii,10.9,12.9,85547.0,2021
Idaho,10.8,12.5,66318.0,2021
Illinois,12.1,15.9,72215.0,2021
Indiana,12.1,15.7,62723.0,2021
Iowa,11.0,12.4,65645.0,2021
Kansas,11.6,13.5,64128.0,2021
Kentucky,16.3,21.2,55532.0,2021
Louisiana,19.5,26.9,52090.0,2021
Maine,11.2,13.8,64823.0,2021
Maryland,10.3,14.0,90129.0,2021
Massachusetts,10.4,12.8,89577.0,2021
Michigan,13.0,17.6,63444.0,2021
Minnesota,9.3,10.8,77712.0,2021
Mississippi,19.2,27.1,48871.0,2021
Missouri,12.8,16.5,61815.0,2021
Montana,12.0,14.9,63357.0,2021
Nebraska,10.5,12.1,66949.0,2021
Nevada,14.0,18.8,66194.0,2021
New Hampshire,7.4,9.3,88268.0,2021
New Jersey,10.2,13.9,89227.0,2021
New Mexico,17.7,23.1,54304.0,2021
New York,14.0,18.8,74230.0,2021
North Carolina,13.5,18.2,61997.0,2021
North Dakota,10.9,11.5,67603.0,2021
Ohio,13.3,18.2,62286.0,2021
Oklahoma,15.4,20.5,55829.0,2021
Oregon,12.2,13.8,71441.0,2021
Pennsylvania,12.0,16.3,68931.0,2021
Rhode Island,12.1,17.0,73324.0,2021
South Carolina,14.5,19.7,59447.0,2021
South Dakota,11.9,14.4,66843.0,2021
Tennessee,13.7,18.4,59698.0,2021
Texas,14.2,19.5,66959.0,2021
Utah,8.7,8.5,79449.0,2021
Vermont,10.2,11.2,72415.0,2021
Virginia,10.3,13.3,80926.0,2021
Washington,9.9,12.0,84155.0,2021
West Virginia,16.8,21.4,51122.0,2021
Wisconsin,10.8,13.6,67150.0,2021
Wyoming,10.6,12.1,66508.0,2021
